id,suraNo,suraName,aya,arabic_text,translation,footnotes
13,2,Bakara,6,اِنَّ الَّذ۪ينَ كَفَرُوا سَوَٓاءٌ عَلَيْهِمْ ءَاَنْذَرْتَهُمْ اَمْ لَمْ تُنْذِرْهُمْ لَا يُؤْمِنُونَ,"Şüphesiz ki (bir sonraki ayette anlatılacak; kibirleri, inatları, yüz çevirmeleri, delilsiz tartışmaları nedeniyle kalpleri mühürlenmiş) o kâfirleri uyarsan da uyarmasan da fark etmez! Onlar iman etmezler.",
14,2,Bakara,7,خَتَمَ اللّٰهُ عَلٰى قُلُوبِهِمْ وَعَلٰى سَمْعِهِمْۜ وَعَلٰٓى اَبْصَارِهِمْ غِشَاوَةٌۘ وَلَهُمْ عَذَابٌ عَظ۪يمٌ۟,"Allah, kalplerini ve kulaklarını mühürlemiştir. Gözleri üzerinde de perde vardır. (Hakikati anlayamaz ve göremezler.) Onlara büyük bir azap vardır.",
15,2,Bakara,8,وَمِنَ النَّاسِ مَنْ يَقُولُ اٰمَنَّا بِاللّٰهِ وَبِالْيَوْمِ الْاٰخِرِ وَمَا هُمْ بِمُؤْمِن۪ينَۢ,İnsanlardan öylesi vardır ki: “Allah’a ve Ahiret Günü'ne iman ettik.” derler. (Hakikatte) iman etmiş değillerdir.,
16,2,Bakara,9,يُخَادِعُونَ اللّٰهَ وَالَّذ۪ينَ اٰمَنُواۚ وَمَا يَخْدَعُونَ اِلَّٓا اَنْفُسَهُمْ وَمَا يَشْعُرُونَۜ,Allah’ı ve iman edenleri aldattıklarını sanırlar. (Hakikatte) sadece kendilerini aldatmaktalardır. Farkında da değillerdir.,
17,2,Bakara,10,ف۪ي قُلُوبِهِمْ مَرَضٌۙ فَزَادَهُمُ اللّٰهُ مَرَضًاۚ وَلَهُمْ عَذَابٌ اَل۪يمٌۙ بِمَا كَانُوا يَكْذِبُونَ,Onların kalplerinde hastalık (şüphe ve şehvet) vardır. Allah da onların hastalığını arttırmıştır. Yalan söylemeleri/Yalanlamaları nedeniyle onlar için can yakıcı bir azap vardır.,
18,2,Bakara,11,وَاِذَا ق۪يلَ لَهُمْ لَا تُفْسِدُوا فِي الْاَرْضِۙ قَالُٓوا اِنَّمَا نَحْنُ مُصْلِحُونَ,Onlara: “Yeryüzünde bozgunculuk yapmayın.” denildiğinde: “Biz sadece ıslah edicileriz.” derler.,
19,2,Bakara,12,اَلَٓا اِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلٰكِنْ لَا يَشْعُرُونَ,Dikkat edin! Onlar bozguncuların ta kendileridirler. Lakin farkında değillerdir.,
20,2,Bakara,13,وَاِذَا ق۪يلَ لَهُمْ اٰمِنُوا كَمَٓا اٰمَنَ النَّاسُ قَالُٓوا اَنُؤْمِنُ كَمَٓا اٰمَنَ السُّفَهَٓاءُۜ اَلَٓا اِنَّهُمْ هُمُ السُّفَهَٓاءُ وَلٰكِنْ لَا يَعْلَمُونَ,Onlara: “İnsanların iman ettiği gibi iman edin.” denildiği zaman: “Biz sefihlerin/zayıf akıllıların iman ettiği gibi mi inanalım?” derler. Dikkat edin! Onlar sefihlerin/aklı zayıf olanların ta kendileridir. Lakin bilmiyorlar.,
21,2,Bakara,14,وَاِذَا لَقُوا الَّذ۪ينَ اٰمَنُوا قَالُٓوا اٰمَنَّاۚ وَاِذَا خَلَوْا اِلٰى شَيَاط۪ينِهِمْۙ قَالُٓوا اِنَّا مَعَكُمْۙ اِنَّمَا نَحْنُ مُسْتَهْزِؤُ۫نَ,"İman edenlerle karşılaştıkları zaman: “İman ettik.” derler. Şeytanlarıyla baş başa kalınca ise: “Biz sizinle beraberiz, ancak biz (iman edenleri) alaya almaktayız.” derler.",
22,2,Bakara,15,اَللّٰهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ ف۪ي طُغْيَانِهِمْ يَعْمَهُونَ,(Hakikatte ise) Allah onlarla alay eder ve azgınlıkları içinde bocalayarak (yaşamaları için) onlara mühlet verir.,
23,2,Bakara,16,اُو۬لٰٓئِكَ الَّذ۪ينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدٰىۖ فَمَا رَبِحَتْ تِجَارَتُهُمْ وَمَا كَانُوا مُهْتَد۪ينَ,"İşte onlar hidayeti sapkınlıkla değişmişlerdir. (Bu değişim neticesinde) ticaretleri kâr etmemiş, doğru yolu da bulamamışlardır.",
24,2,Bakara,17,مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًاۚ فَلَمَّٓا اَضَٓاءَتْ مَا حَوْلَهُ ذَهَبَ اللّٰهُ بِنُورِهِمْ وَتَرَكَهُمْ ف۪ي ظُلُمَاتٍ لَا يُبْصِرُونَ,Onların misali (şuna benzemektedir): Bir ateş yakmıştır. (Ateş) etrafını aydınlatmaya başlayınca da Allah onların nurunu/ışığını almış ve onları karanlıklar içinde görmez bir hâlde bırakmıştır!,
25,2,Bakara,18,صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَۙ,"Sağırdırlar, dilsizdirler ve kördürler. (Böyle oldukları için de) onlar (imana) geri dönmezler.",
26,2,Bakara,19,اَوْ كَصَيِّبٍ مِنَ السَّمَٓاءِ ف۪يهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌۚ يَجْعَلُونَ اَصَابِعَهُمْ ف۪ٓي اٰذَانِهِمْ مِنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِۜ وَاللّٰهُ مُح۪يطٌ بِالْكَافِر۪ينَ,"Ya da (onların durumu) içinde karanlıklar, gök gürültüsü ve şimşek taşıyan bir yağmura (maruz kalan kimse) gibidir. Yıldırımın (dehşetinden) ölüm korkusuyla parmaklarını kulaklarına kapatırlar. Allah kâfirleri (çepeçevre kuşatan) Muhit’tir.",
27,2,Bakara,20,يَكَادُ الْبَرْقُ يَخْطَفُ اَبْصَارَهُمْۜ كُلَّمَٓا اَضَٓاءَ لَهُمْ مَشَوْا ف۪يهِۙ وَاِذَٓا اَظْلَمَ عَلَيْهِمْ قَامُواۜ وَلَوْ شَٓاءَ اللّٰهُ لَذَهَبَ بِسَمْعِهِمْ وَاَبْصَارِهِمْۜ اِنَّ اللّٰهَ عَلٰى كُلِّ شَيْءٍ قَد۪يرٌ۟,"Şimşek neredeyse gözlerini (hızlıca alıp) kapıverecek. (Şimşeğin ışığı) önlerini her aydınlattığında onun ışığında yürürler. Onları karanlıkta bırakınca (korku ve şaşkınlıkla) yerlerine çakılırlar. Allah dileseydi onların işitme ve görme duyularını alıverirdi. Şüphesiz ki Allah, her şeye kadîrdir.",
28,2,Bakara,21,يَٓا اَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذ۪ي خَلَقَكُمْ وَالَّذ۪ينَ مِنْ قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَۙ,Ey insanlar! Sizi ve sizden öncekileri yaratan Rabbinize ibadet/kulluk edin ki sakınıp korunabilesiniz.,
29,2,Bakara,22,اَلَّذ۪ي جَعَلَ لَكُمُ الْاَرْضَ فِرَاشًا وَالسَّمَٓاءَ بِنَٓاءًۖ وَاَنْزَلَ مِنَ السَّمَٓاءِ مَٓاءً فَاَخْرَجَ بِه۪ مِنَ الثَّمَرَاتِ رِزْقًا لَكُمْۚ فَلَا تَجْعَلُوا لِلّٰهِ اَنْدَادًا وَاَنْتُمْ تَعْلَمُونَ,"O (Rab ki) yeryüzünü sizin için bir döşek, gökyüzünü de tavan kıldı. Gökten su indirdi ve onunla size rızık olarak (çeşitli) ürünler çıkardı. (Öyleyse bütün bu gerçekleri ikrar edip) bildiğiniz hâlde Allah’a eş/ortak/denk koşmayın.",
30,2,Bakara,23,وَاِنْ كُنْتُمْ ف۪ي رَيْبٍ مِمَّا نَزَّلْنَا عَلٰى عَبْدِنَا فَأْتُوا بِسُورَةٍ مِنْ مِثْلِه۪ۖ وَادْعُوا شُهَدَٓاءَكُمْ مِنْ دُونِ اللّٰهِ اِنْ كُنْتُمْ صَادِق۪ينَ,"Şayet, kulumuza indirdiğimiz (Kur’ân) hakkında şüphe içinde iseniz, onun benzeri bir sure getirin (bakalım). Ve doğru sözlü iseniz Allah’ın dışındaki şahitlerinizi de (yardıma) çağırın.",
31,2,Bakara,24,فَاِنْ لَمْ تَفْعَلُوا وَلَنْ تَفْعَلُوا فَاتَّقُوا النَّارَ الَّت۪ي وَقُودُهَا النَّاسُ وَالْحِجَارَةُۚ اُعِدَّتْ لِلْكَافِر۪ينَ,Şayet yapamadıysanız -ki hiçbir zaman yapamayacaksınız da- öyleyse yakıtı insanlar ve taşlar olan ateşten sakının. (O ateş) kâfirler için hazırlanmıştır.,
32,2,Bakara,25,وَبَشِّرِ الَّذ۪ينَ اٰمَنُوا وَعَمِلُوا الصَّالِحَاتِ اَنَّ لَهُمْ جَنَّاتٍ تَجْر۪ي مِنْ تَحْتِهَا الْاَنْهَارُۜ كُلَّمَا رُزِقُوا مِنْهَا مِنْ ثَمَرَةٍ رِزْقًاۙ قَالُوا هٰذَا الَّذ۪ي رُزِقْنَا مِنْ قَبْلُ وَاُتُوا بِه۪ مُتَشَابِهًاۜ وَلَهُمْ ف۪يهَٓا اَزْوَاجٌ مُطَهَّرَةٌ وَهُمْ ف۪يهَا خَالِدُونَ,"İman edip salih amel işleyenleri, kesinlikle onlar için (hazırlanmış) altından ırmaklar akan cennetler ile müjdele. Onlara rızık olarak verilen (cennet) meyvelerinden her yediklerinde: “Bu bize daha önce rızık olarak verilmişti.” derler. (Hakikatte) onlara benzeri verilmişti. Onlar için orada (Allah tarafından kusurlardan arındırılmış) tertemiz eşler vardır ve orada ebedî olarak kalacaklardır.",
33,2,Bakara,26,اِنَّ اللّٰهَ لَا يَسْتَحْي۪ٓ اَنْ يَضْرِبَ مَثَلًا مَا بَعُوضَةً فَمَا فَوْقَهَاۜ فَاَمَّا الَّذ۪ينَ اٰمَنُوا فَيَعْلَمُونَ اَنَّهُ الْحَقُّ مِنْ رَبِّهِمْۚ وَاَمَّا الَّذ۪ينَ كَفَرُوا فَيَقُولُونَ مَاذَٓا اَرَادَ اللّٰهُ بِهٰذَا مَثَلًاۢ يُضِلُّ بِه۪ كَث۪يرًا وَيَهْد۪ي بِه۪ كَث۪يرًاۜ وَمَا يُضِلُّ بِه۪ٓ اِلَّا الْفَاسِق۪ينَۙ,"Allah, bir dişi sivrisineği ya da ondan daha üstün/aşağı bir şeyi örnek olarak vermekten çekinmez. İman edenler (örneği duyunca) onun, Rablerinden gelen bir hakikat olduğunu bilirler. Kâfirler ise: “Allah bu örneği vermekle ne murat etti?” derler. (Allah) o (örnekle) birçoğunu saptırır, birçoğunu da hidayet eder. (Hakikatte) onunla sadece fasıkları saptırır.",
34,2,Bakara,27,اَلَّذ۪ينَ يَنْقُضُونَ عَهْدَ اللّٰهِ مِنْ بَعْدِ م۪يثَاقِه۪ۖ وَيَقْطَعُونَ مَٓا اَمَرَ اللّٰهُ بِه۪ٓ اَنْ يُوصَلَ وَيُفْسِدُونَ فِي الْاَرْضِۜ اُو۬لٰٓئِكَ هُمُ الْخَاسِرُونَ,"O (fasıklar) ki sağlamlaştırıldıktan sonra Allah’ın sözünü bozar, Allah’ın birleştirilmesini istediği (bağları) koparır, yeryüzünde bozgunculuk yaparlar. İşte bunlar hüsrana uğrayanların ta kendileridir.",
35,2,Bakara,28,كَيْفَ تَكْفُرُونَ بِاللّٰهِ وَكُنْتُمْ اَمْوَاتًا فَاَحْيَاكُمْۚ ثُمَّ يُم۪يتُكُمْ ثُمَّ يُحْي۪يكُمْ ثُمَّ اِلَيْهِ تُرْجَعُونَ,"Siz ölüler iken sizi dirilten (yoktan var eden), sonra öldürüp tekrar diriltecek olan, sonra tekrar ona döndürüleceğiniz bir Allah’a karşı nasıl kâfir olursunuz?",
36,2,Bakara,29,هُوَ الَّذ۪ي خَلَقَ لَكُمْ مَا فِي الْاَرْضِ جَم۪يعًا ثُمَّ اسْتَوٰٓى اِلَى السَّمَٓاءِ فَسَوّٰيهُنَّ سَبْعَ سَمٰوَاتٍۜ وَهُوَ بِكُلِّ شَيْءٍ عَل۪يمٌ۟,"O (Allah) ki; yeryüzünde olanların tamamını sizin için yarattı. Sonra gökyüzüne yöneldi ve orayı yedi (kat) gök olarak düzenledi. Ve O, her şeyi bilendir.",
37,2,Bakara,30,وَاِذْ قَالَ رَبُّكَ لِلْمَلٰٓئِكَةِ اِنّ۪ي جَاعِلٌ فِي الْاَرْضِ خَل۪يفَةًۜ قَالُٓوا اَتَجْعَلُ ف۪يهَا مَنْ يُفْسِدُ ف۪يهَا وَيَسْفِكُ الدِّمَٓاءَۚ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَۜ قَالَ اِنّ۪ٓي اَعْلَمُ مَا لَا تَعْلَمُونَ,"Hani Rabbin meleklere: “Ben yeryüzünde bir halife yaratacağım.” demişti. Dediler ki: “Orada bozgunculuk yapacak ve kan dökecek birini mi (halife) kılacaksın? Oysa bizler seni tüm eksiklerden tenzih ederek sana hamd etmekte ve seni takdis etmekteyiz.” (Allah) dedi ki: “Şüphesiz ki ben, sizin bilmediklerinizi biliyorum.”",
38,2,Bakara,31,وَعَلَّمَ اٰدَمَ الْاَسْمَٓاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلٰٓئِكَةِ فَقَالَ اَنْبِؤُ۫ن۪ي بِاَسْمَٓاءِ هٰٓؤُ۬لَٓاءِ اِنْ كُنْتُمْ صَادِق۪ينَ,(Varlığa dair) tüm isimleri Âdem’e öğretti. Sonra onları meleklere sundu ve: “Şayet doğru sözlülerden iseniz bunların isimlerini bana haber verin.” dedi.,
39,2,Bakara,32,قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَٓا اِلَّا مَا عَلَّمْتَنَاۜ اِنَّكَ اَنْتَ الْعَل۪يمُ الْحَك۪يمُ,"Dediler ki: “Seni tüm noksanlıklardan tenzih ederiz. Senin bize öğrettiğinden başka bir ilmimiz yoktur. Şüphesiz ki sen, (her şeyi bilen) El-Alîm, (hüküm ve hikmet sahibi olan) El-Hakîm’sin.”",
40,2,Bakara,33,قَالَ يَٓا اٰدَمُ اَنْبِئْهُمْ بِاَسْمَٓائِهِمْۚ فَلَمَّٓا اَنْبَاَهُمْ بِاَسْمَٓائِهِمْۙ قَالَ اَلَمْ اَقُلْ لَكُمْ اِنّ۪ٓي اَعْلَمُ غَيْبَ السَّمٰوَاتِ وَالْاَرْضِ وَاَعْلَمُ مَا تُبْدُونَ وَمَا كُنْتُمْ تَكْتُمُونَ,"Dedi ki: “Ey Âdem! Onlara isimlerini haber ver.” (Âdem) isimlerini haber verince (Allah) dedi ki: “Size göklerin ve yerin gaybını ben bilirim, açığa vurup gizlediklerinizi de ben bilirim, diye söylemedim mi?”",
41,2,Bakara,34,وَاِذْ قُلْنَا لِلْمَلٰٓئِكَةِ اسْجُدُوا لِاٰدَمَ فَسَجَدُٓوا اِلَّٓا اِبْل۪يسَۜ اَبٰى وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِر۪ينَ,"Hani biz meleklere: “Âdem’e secde edin.” demiştik. İblis dışında hepsi secde ettiler. O diretti, büyüklendi ve kâfirlerden oldu.",
42,2,Bakara,35,وَقُلْنَا يَٓا اٰدَمُ اسْكُنْ اَنْتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَاۖ وَلَا تَقْرَبَا هٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِم۪ينَ,"Biz dedik ki: “Ey Âdem! Sen ve eşin cennete yerleşin. Oradan bolca, dilediğiniz yerden yiyin. Ancak şu ağaca yaklaşmayın. Yoksa zalimlerden olursunuz.”",
43,2,Bakara,36,فَاَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَاَخْرَجَهُمَا مِمَّا كَانَا ف۪يهِۖ وَقُلْنَا اهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّۚ وَلَكُمْ فِي الْاَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ اِلٰى ح۪ينٍ,Şeytan onların ayağını (cennetten) kaydırdı ve onları bulundukları yerden çıkardı. (Allah) dedi ki: “(Oradan) birbirinize düşmanlar olarak (dünyaya) inin. Sizin için yeryüzünde belli bir vakte kadar bir karar (yerleşip yaşamak) ve (yeryüzünün nimetlerinden) faydalanma vardır.”,
44,2,Bakara,37,فَتَلَقَّى آدَمُ مِن رَّبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,"Âdem Rabbinden bazı kelimeler aldı ve Allah (o kelimelerle) onun tevbesini kabul etti. Şüphesiz ki O, (tevbeye muvaffak kılan ve tevbeleri çokça kabul eden) Et-Tevvâb, (kullarına karşı merhametli olan) Er-Rahîm’dir.",
45,2,Bakara,38,قُلْنَا اهْبِطُوا مِنْهَا جَم۪يعًاۚ فَاِمَّا يَأْتِيَنَّكُمْ مِنّ۪ي هُدًى فَمَنْ تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,Dedik ki: “Oradan topluca inin. Benden size bir hidayet (vahiy) gelecek. Kim hidayetime tabi olursa onlara korku yoktur ve onlar üzülmeyeceklerdir.”,
46,2,Bakara,39,وَالَّذ۪ينَ كَفَرُوا وَكَذَّبُوا بِاٰيَاتِنَٓا اُو۬لٰٓئِكَ اَصْحَابُ النَّارِۚ هُمْ ف۪يهَا خَالِدُونَ۟,Ayetlerimizi inkâr eden (kâfirlere) ve yalanlayanlara (gelince); onlar ateşin ehlidirler ve orada ebedî kalacaklardır.,
47,2,Bakara,40,يَا بَن۪ٓي اِسْرَٓاء۪يلَ اذْكُرُوا نِعْمَتِيَ الَّت۪ٓي اَنْعَمْتُ عَلَيْكُمْ وَاَوْفُوا بِعَهْد۪ٓي اُو۫فِ بِعَهْدِكُمْ وَاِيَّايَ فَارْهَبُونِ,Ey İsrailoğulları! Size bahşettiğim nimetlerimi hatırlayın. Ve bana olan sözünüze bağlı kalın ki ben de size olan sözüme bağlı kalayım. Ve yalnızca benden korkun.,
48,2,Bakara,41,وَاٰمِنُوا بِمَٓا اَنْزَلْتُ مُصَدِّقًا لِمَا مَعَكُمْ وَلَا تَكُونُٓوا اَوَّلَ كَافِرٍ بِه۪ۖ وَلَا تَشْتَرُوا بِاٰيَات۪ي ثَمَنًا قَل۪يلًاۘ وَاِيَّايَ فَاتَّقُونِ,Sizin yanınızda olan (Tevrat’ı) doğrulayıcı olarak indirdiğim (Kur’ân’a) inanın ve onu ilk inkâr edenlerden olmayın. Ayetlerimi az bir paha karşılığında satmayın. Ve yalnızca benden sakının.,
49,2,Bakara,42,وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَاَنْتُمْ تَعْلَمُونَ,Gerçeği bildiğiniz hâlde hakkı batılla karıştırıp (bu suretle) hakkı gizlemeyin.,
50,2,Bakara,43,وَاَق۪يمُوا الصَّلٰوةَ وَاٰتُوا الزَّكٰوةَ وَارْكَعُوا مَعَ الرَّاكِع۪ينَ,"Namazı dosdoğru kılın, zekâtı verin. Ve rükû edenlerle beraber rükû edin.",
51,2,Bakara,44,اَتَأْمُرُونَ النَّاسَ بِالْبِرِّ وَتَنْسَوْنَ اَنْفُسَكُمْ وَاَنْتُمْ تَتْلُونَ الْكِتَابَۜ اَفَلَا تَعْقِلُونَ,Kitab’ı okuduğunuz hâlde insanlara iyiliği emredip kendinizi unutuyor musunuz? Akletmez misiniz?,
52,2,Bakara,45,وَاسْتَع۪ينُوا بِالصَّبْرِ وَالصَّلٰوةِۜ وَاِنَّهَا لَكَب۪يرَةٌ اِلَّا عَلَى الْخَاشِع۪ينَۙ,"Sabır ve namazla (Allah’tan) yardım dileyin. Şüphesiz ki o (namaz ve sabırla yardım dilemek), huşu ehli dışındakilere büyük/ağır gelen bir yüktür.",
53,2,Bakara,46,اَلَّذ۪ينَ يَظُنُّونَ اَنَّهُمْ مُلَاقُوا رَبِّهِمْ وَاَنَّهُمْ اِلَيْهِ رَاجِعُونَ۟,O (huşu ehli) ki; Rableriyle karşılaşacaklarını ve O’na döneceklerini kesin bir bilgiyle bilirler.,
54,2,Bakara,47,يَا بَن۪ٓي اِسْرَٓاء۪يلَ اذْكُرُوا نِعْمَتِيَ الَّت۪ٓي اَنْعَمْتُ عَلَيْكُمْ وَاَنّ۪ي فَضَّلْتُكُمْ عَلَى الْعَالَم۪ينَ,Ey İsrailoğulları! Size bahşettiğim nimetlerimi ve sizi âlemlere üstün/faziletli kıldığımı hatırlayın.,
55,2,Bakara,48,وَاتَّقُوا يَوْمًا لَا تَجْز۪ي نَفْسٌ عَنْ نَفْسٍ شَيْـًٔا وَلَا يُقْبَلُ مِنْهَا شَفَاعَةٌ وَلَا يُؤْخَذُ مِنْهَا عَدْلٌ وَلَا هُمْ يُنْصَرُونَ,"Öyle bir günden sakının ki; (o gün) hiçbir nefis bir başkasının yerine geçmez, hiç kimseden şefaat kabul edilmez, hiç kimseden fidye alınmaz ve onlara yardım da edilmez.",
56,2,Bakara,49,وَاِذْ نَجَّيْنَاكُمْ مِنْ اٰلِ فِرْعَوْنَ يَسُومُونَكُمْ سُٓوءَ الْعَذَابِ يُذَبِّحُونَ اَبْنَٓاءَكُمْ وَيَسْتَحْيُونَ نِسَٓاءَكُمْۜ وَف۪ي ذٰلِكُمْ بَلَٓاءٌ مِنْ رَبِّكُمْ عَظ۪يمٌ,"(Hatırlayın!) Hani sizi Firavun hanedanından kurtarmıştık. Size işkencenin en kötüsünü reva görüyor, erkek çocuklarınızı boğazlıyor, kadınlarınızı sağ bırakıyorlardı. Bunda sizin için Rabbinizden büyük bir imtihan vardı.",
57,2,Bakara,50,وَاِذْ فَرَقْنَا بِكُمُ الْبَحْرَ فَاَنْجَيْنَاكُمْ وَاَغْرَقْنَٓا اٰلَ فِرْعَوْنَ وَاَنْتُمْ تَنْظُرُونَ,"(Hatırlayın!) Hani sizin için denizi yarmış, sizi kurtarmış ve sizler bakıp dururken/gözlerinizin önünde Firavun ailesini boğmuştuk.",
58,2,Bakara,51,وَاِذْ وٰعَدْنَا مُوسٰٓى اَرْبَع۪ينَ لَيْلَةً ثُمَّ اتَّخَذْتُمُ الْعِجْلَ مِنْ بَعْدِه۪ وَاَنْتُمْ ظَالِمُونَ,(Hatırlayın!) Hani Musa ile (Tur’da buluşmak için) kırk geceliğine sözleşmiştik. Sonra sizler onun (Musa’nın) ardından buzağıyı (ilah) edinmiştiniz. Ve siz (böyle yapmakla) zalimlerden olmuştunuz.,
59,2,Bakara,52,ثُمَّ عَفَوْنَا عَنْكُمْ مِنْ بَعْدِ ذٰلِكَ لَعَلَّكُمْ تَشْكُرُونَ,Bu (olaydan) sonra şükredesiniz diye sizleri affetmiştik.,
60,2,Bakara,53,وَاِذْ اٰتَيْنَا مُوسَى الْكِتَابَ وَالْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُونَ,(Hatırlayın!) Hani hidayete eresiniz diye Musa’ya Kitab’ı ve Furkan’ı vermiştik.,
61,2,Bakara,54,وَاِذْ قَالَ مُوسٰى لِقَوْمِه۪ يَا قَوْمِ اِنَّكُمْ ظَلَمْتُمْ اَنْفُسَكُمْ بِاتِّخَاذِكُمُ الْعِجْلَ فَتُوبُٓوا اِلٰى بَارِئِكُمْ فَاقْتُلُٓوا اَنْفُسَكُمْۜ ذٰلِكُمْ خَيْرٌ لَكُمْ عِنْدَ بَارِئِكُمْۜ فَتَابَ عَلَيْكُمْۜ اِنَّهُ هُوَ التَّوَّابُ الرَّح۪يمُ,"(Hatırlayın!) Hani Musa kavmine demişti ki: “Ey kavmim! Şüphesiz ki sizler, buzağıyı ilah edinmekle kendi kendinize zulmettiniz. Sizi yaratana tevbe edin ve nefislerinizi öldürün. Bu, yaratanınız yanında sizin için daha hayırlıdır. Sonra (Allah) sizi tevbeye muvaffak kıldı/tevbelerinizi kabul etti. Şüphesiz ki O, (tevbeye muvaffak kılan ve tevbeleri çokça kabul eden) Et-Tevvâb, (kullarına karşı merhametli olan) Er-Rahîm’dir.”",
62,2,Bakara,55,وَاِذْ قُلْتُمْ يَا مُوسٰى لَنْ نُؤْمِنَ لَكَ حَتّٰى نَرَى اللّٰهَ جَهْرَةً فَاَخَذَتْكُمُ الصَّاعِقَةُ وَاَنْتُمْ تَنْظُرُونَ,(Hatırlayın!) Hani demiştiniz ki: “Ey Musa! Apaçık bir şekilde Allah’ı görmeden sana iman etmeyeceğiz.” (Bunun üzerine) öylece bakıp dururken sizi yıldırım çarpmıştı.,
63,2,Bakara,56,ثُمَّ بَعَثْنَاكُمْ مِنْ بَعْدِ مَوْتِكُمْ لَعَلَّكُمْ تَشْكُرُونَ,"Sonra, şükredesiniz diye, ölümünüzün/baygınlığınızın ardından sizi (bir daha) dirilttik.",
